날짜,오프라인비용,온라인비용
2019-01-01,5850000,3151850.0
2019-01-02,5850000,4524468.0
2019-01-03,5850000,2049294.0000000002
2019-01-04,5850000,3807115.0000000005
2019-01-05,5850000,5271890.0
2019-01-06,5850000,4935905.0
2019-01-07,5850000,3353376.0
2019-01-08,6500000,3316794.0
2019-01-09,6500000,4274179.0
2019-01-10,6500000,670072.0000000001
2019-01-11,6500000,2284854.0
2019-01-12,6500000,3166760.9999999995
2019-01-13,6500000,3184545.0
2019-01-14,6500000,2496741.0
2019-01-15,3900000,2255084.0
2019-01-16,3900000,4845893.0
2019-01-17,3900000,543049.0
2019-01-18,3900000,1706250.0
2019-01-19,3900000,3579628.0
2019-01-20,3900000,2695563.0000000005
2019-01-21,3900000,833208.9999999999
2019-01-22,1300000,1364649.0
2019-01-23,1300000,1763567.0
2019-01-24,1300000,728026.0
2019-01-25,1300000,1462435.0
2019-01-26,1300000,1218854.0
2019-01-27,1300000,894218.0
2019-01-28,1300000,1291797.0
2019-01-29,910000,1086969.0
2019-01-30,910000,1276418.0
2019-01-31,910000,1794182.0000000002
2019-02-01,910000,900471.0
2019-02-02,910000,1002131.0
2019-02-03,910000,2719093.0
2019-02-04,910000,2882074.0
2019-02-05,3900000,3232398.0
2019-02-06,3900000,2165111.0
2019-02-07,3900000,1140360.0
2019-02-08,3900000,2565251.0
2019-02-09,3900000,3457142.0
2019-02-10,3900000,2648633.0
2019-02-11,3900000,3724097.0
2019-02-12,3900000,3698032.0
2019-02-13,3900000,2609516.0
2019-02-14,3900000,1079884.0
2019-02-15,3900000,2260557.0
2019-02-16,3900000,4919291.0
2019-02-17,3900000,2739971.0
2019-02-18,3900000,2062359.0
2019-02-19,4550000,2236208.0
2019-02-20,4550000,3598764.0000000005
2019-02-21,4550000,945607.0
2019-02-22,4550000,1221870.0
2019-02-23,4550000,3313063.0000000005
2019-02-24,4550000,2964338.0000000005
2019-02-25,4550000,1910792.0
2019-02-26,5200000,2537223.0
2019-02-27,5200000,5653726.000000001
2019-02-28,5200000,2362334.0
2019-03-01,5200000,2444286.0
2019-03-02,5200000,1636179.9999999998
2019-03-03,5200000,2686177.0
2019-03-04,5200000,835042.0
2019-03-05,3250000,1499367.9999999998
2019-03-06,3250000,2375126.0
2019-03-07,3250000,3035955.0
2019-03-08,3250000,2494089.0
2019-03-09,3250000,2298764.0
2019-03-10,3250000,1682486.0
2019-03-11,3250000,1265095.0
2019-03-12,2600000,950430.0
2019-03-13,2600000,1947413.0
2019-03-14,2600000,1483651.0
2019-03-15,2600000,2189434.0
2019-03-16,2600000,3165656.0
2019-03-17,2600000,2389231.0
2019-03-18,2600000,857441.0000000001
2019-03-19,2600000,1276860.0
2019-03-20,2600000,2005653.0
2019-03-21,2600000,3075553.0
2019-03-22,2600000,3280433.0
2019-03-23,2600000,2257619.0
2019-03-24,2600000,2579200.0
2019-03-25,2600000,1211002.0
2019-03-26,2600000,2174627.0
2019-03-27,2600000,3431986.9999999995
2019-03-28,2600000,1385955.9999999998
2019-03-29,2600000,1729702.0
2019-03-30,2600000,899626.0
2019-03-31,2600000,2831075.0
2019-04-01,2600000,5225909.0
2019-04-02,3250000,2482051.0
2019-04-03,3250000,2272582.0
2019-04-04,3250000,1476878.0
2019-04-05,3250000,3045484.0
2019-04-06,3250000,2999425.0
2019-04-07,3250000,3535298.0
2019-04-08,3250000,2860897.0
2019-04-09,3900000,2263183.0
2019-04-10,3900000,2786407.0
2019-04-11,3900000,1046305.0
2019-04-12,3900000,2120625.0
2019-04-13,3900000,3733899.0
2019-04-14,3900000,2271100.0
2019-04-15,3900000,2071654.0
2019-04-16,5200000,2818452.0
2019-04-17,5200000,3284436.9999999995
2019-04-18,5200000,1919554.0
2019-04-19,5200000,2281396.0
2019-04-20,5200000,1729442.0
2019-04-21,5200000,4002492.0
2019-04-22,5200000,2090738.0
2019-04-23,4550000,4039243.0
2019-04-24,4550000,2145806.0
2019-04-25,4550000,807222.0000000001
2019-04-26,4550000,1772303.0
2019-04-27,4550000,2673021.0
2019-04-28,4550000,2625649.0
2019-04-29,4550000,4613869.0
2019-04-30,3900000,2339558.0
2019-05-01,3900000,1441544.0000000002
2019-05-02,3900000,952211.0
2019-05-03,3900000,3128203.0
2019-05-04,3900000,3129815.0000000005
2019-05-05,3900000,1531088.0
2019-05-06,3900000,2731157.0
2019-05-07,3900000,2952300.0
2019-05-08,3900000,1130025.0
2019-05-09,3900000,2302716.0
2019-05-10,3900000,2524769.0
2019-05-11,3900000,2342158.0
2019-05-12,3900000,2747719.0
2019-05-13,3900000,3506880.0
2019-05-14,3250000,2797209.9999999995
2019-05-15,3250000,887146.0
2019-05-16,3250000,2087319.0000000002
2019-05-17,3250000,3968236.9999999995
2019-05-18,3250000,3647527.0
2019-05-19,3250000,3030703.0
2019-05-20,3250000,2987842.0
2019-05-21,1300000,1147874.0
2019-05-22,1300000,1272804.0
2019-05-23,1300000,1554839.0
2019-05-24,1300000,871663.0
2019-05-25,1300000,3335475.0
2019-05-26,1300000,3577769.0
2019-05-27,1300000,2569203.0
2019-05-28,650000,605020.0
2019-05-29,650000,871832.0
2019-05-30,650000,1641094.0000000002
2019-05-31,650000,1313390.0
2019-06-01,650000,416325.0
2019-06-02,650000,2109198.0
2019-06-03,650000,1599559.0
2019-06-04,4550000,3319134.0
2019-06-05,4550000,4162730.0
2019-06-06,4550000,1464930.9999999998
2019-06-07,4550000,2202408.0
2019-06-08,4550000,2077998.0
2019-06-09,4550000,3822130.0
2019-06-10,4550000,2446522.0
2019-06-11,3900000,1856816.0
2019-06-12,3900000,3017976.0
2019-06-13,3900000,1409759.0
2019-06-14,3900000,2274337.0
2019-06-15,3900000,2495792.0
2019-06-16,3900000,2612168.0
2019-06-17,3900000,3566823.0
2019-06-18,4550000,2976246.0
2019-06-19,4550000,3402282.0
2019-06-20,4550000,1325467.0
2019-06-21,4550000,1916174.0
2019-06-22,4550000,2882191.0
2019-06-23,4550000,2968004.0
2019-06-24,4550000,2567695.0
2019-06-25,1950000,1242969.0
2019-06-26,1950000,1921647.0
2019-06-27,1950000,843882.0
2019-06-28,1950000,2222792.0
2019-06-29,1950000,3447769.0
2019-06-30,1950000,1391858.0
2019-07-01,1950000,2512432.0
2019-07-02,2600000,1440439.0
2019-07-03,2600000,685048.0
2019-07-04,2600000,2896334.9999999995
2019-07-05,2600000,2734069.0
2019-07-06,2600000,3462771.0
2019-07-07,2600000,2924284.9999999995
2019-07-08,2600000,3318913.0000000005
2019-07-09,3250000,2431871.0
2019-07-10,3250000,1612611.0
2019-07-11,3250000,1466517.0
2019-07-12,3250000,1200420.0
2019-07-13,3250000,3236168.0
2019-07-14,3250000,2683642.0
2019-07-15,3250000,2101086.0
2019-07-16,2600000,1512042.9999999998
2019-07-17,2600000,1730429.9999999998
2019-07-18,2600000,3131193.0
2019-07-19,2600000,4477512.0
2019-07-20,2600000,2726385.9999999995
2019-07-21,2600000,1629212.0
2019-07-22,2600000,3277703.0
2019-07-23,3250000,2289196.0
2019-07-24,3250000,1105182.0
2019-07-25,3250000,1519765.0
2019-07-26,3250000,2115347.0
2019-07-27,3250000,1497210.0
2019-07-28,3250000,3152955.0
2019-07-29,3250000,1759849.0
2019-07-30,1950000,621751.0
2019-07-31,1950000,1280864.0
2019-08-01,1950000,833456.0
2019-08-02,1950000,2802748.0
2019-08-03,1950000,3241732.0
2019-08-04,1950000,3495674.0
2019-08-05,1950000,2620852.0
2019-08-06,3900000,1485926.0
2019-08-07,3900000,2530528.0
2019-08-08,3900000,1932840.0
2019-08-09,3900000,2971527.0
2019-08-10,3900000,2160964.0
2019-08-11,3900000,3332979.0
2019-08-12,3900000,2457533.0
2019-08-13,4550000,2400034.0
2019-08-14,4550000,2580396.0
2019-08-15,4550000,1459237.0
2019-08-16,4550000,2200640.0
2019-08-17,4550000,4358094.0
2019-08-18,4550000,2205632.0
2019-08-19,4550000,3346928.0
2019-08-20,3250000,1924299.0
2019-08-21,3250000,1986529.9999999998
2019-08-22,3250000,1524848.0
2019-08-23,3250000,2472028.0
2019-08-24,3250000,2818842.0
2019-08-25,3250000,2523794.0
2019-08-26,3250000,1423201.0
2019-08-27,3900000,2752464.0000000005
2019-08-28,3900000,2832141.0
2019-08-29,3900000,1373671.0
2019-08-30,3900000,2890004.0
2019-08-31,3900000,1685853.0
2019-09-01,3900000,3152460.9999999995
2019-09-02,3900000,1699905.9999999998
2019-09-03,3250000,2608346.0
2019-09-04,3250000,1631513.0
2019-09-05,3250000,1561417.0
2019-09-06,3250000,1680354.0
2019-09-07,3250000,3256279.0
2019-09-08,3250000,1770729.9999999998
2019-09-09,3250000,2273973.0
2019-09-10,3900000,3174106.0
2019-09-11,3900000,2189187.0
2019-09-12,3900000,1452567.9999999998
2019-09-13,3900000,1403142.0
2019-09-14,3900000,1830478.0
2019-09-15,3900000,3310671.0
2019-09-16,3900000,1969304.9999999998
2019-09-17,3250000,3623126.0
2019-09-18,3250000,2987231.0
2019-09-19,3250000,1394757.0000000002
2019-09-20,3250000,1946828.0
2019-09-21,3250000,1427660.0
2019-09-22,3250000,2464449.0
2019-09-23,3250000,3780530.0
2019-09-24,3900000,1704104.9999999998
2019-09-25,3900000,2257047.0
2019-09-26,3900000,997854.0
2019-09-27,3900000,2158962.0
2019-09-28,3900000,1813279.0
2019-09-29,3900000,4827030.0
2019-09-30,3900000,1921608.0
2019-10-01,3900000,2588872.0
2019-10-02,3900000,1168765.0
2019-10-03,3900000,2620774.0
2019-10-04,3900000,3134807.0
2019-10-05,3900000,1965522.0
2019-10-06,3900000,2899988.0000000005
2019-10-07,3900000,2801214.0000000005
2019-10-08,4550000,2339402.0
2019-10-09,4550000,954602.9999999999
2019-10-10,4550000,4817150.0
2019-10-11,4550000,1886209.0
2019-10-12,4550000,3691116.0
2019-10-13,4550000,1759342.0
2019-10-14,4550000,2748655.0
2019-10-15,3250000,1713257.0000000002
2019-10-16,3250000,1584179.9999999998
2019-10-17,3250000,2318628.0
2019-10-18,3250000,1495663.0
2019-10-19,3250000,2120547.0
2019-10-20,3250000,3675425.0
2019-10-21,3250000,3702907.0
2019-10-22,4550000,2471001.0
2019-10-23,4550000,1499953.0
2019-10-24,4550000,3029311.9999999995
2019-10-25,4550000,1840982.0000000002
2019-10-26,4550000,3087486.9999999995
2019-10-27,4550000,4253015.0
2019-10-28,4550000,2198326.0
2019-10-29,2600000,2033317.0
2019-10-30,2600000,1014195.0
2019-10-31,2600000,1627430.9999999998
2019-11-01,2600000,1591213.0
2019-11-02,2600000,3168854.0
2019-11-03,2600000,2982317.0
2019-11-04,2600000,3222427.0
2019-11-05,4550000,2625922.0
2019-11-06,4550000,3310580.0
2019-11-07,4550000,1628419.0000000002
2019-11-08,4550000,2713736.9999999995
2019-11-09,4550000,3804697.0
2019-11-10,4550000,3161249.0
2019-11-11,4550000,3436342.0
2019-11-12,5200000,4408066.0
2019-11-13,5200000,3121234.9999999995
2019-11-14,5200000,1111747.0
2019-11-15,5200000,958204.0
2019-11-16,5200000,3531424.0
2019-11-17,5200000,3853590.0000000005
2019-11-18,5200000,3673514.0000000005
2019-11-19,3250000,2489851.0
2019-11-20,3250000,2460939.0
2019-11-21,3250000,630370.0
2019-11-22,3250000,2692703.0
2019-11-23,3250000,3864380.0
2019-11-24,3250000,5037604.0
2019-11-25,3250000,3436667.0
2019-11-26,3900000,2135003.0
2019-11-27,3900000,3665454.0
2019-11-28,3900000,1787838.0
2019-11-29,3900000,5924009.0
2019-11-30,3900000,2160093.0
2019-12-01,3900000,3065530.0
2019-12-02,3900000,2479347.0
2019-12-03,4550000,2615041.0
2019-12-04,4550000,1181947.0
2019-12-05,4550000,3865589.0000000005
2019-12-06,4550000,2544854.0
2019-12-07,4550000,4414982.0
2019-12-08,4550000,3473470.0
2019-12-09,4550000,3225963.0000000005
2019-12-10,5200000,5066360.0
2019-12-11,5200000,2096809.0
2019-12-12,5200000,3775499.0
2019-12-13,5200000,4030546.0
2019-12-14,5200000,4464603.0
2019-12-15,5200000,4650685.0
2019-12-16,5200000,4052074.0
2019-12-17,5850000,2156583.0
2019-12-18,5850000,862498.0
2019-12-19,5850000,3678623.0
2019-12-20,5850000,3739307.0
2019-12-21,5850000,4046549.0
2019-12-22,5850000,3002298.0
2019-12-23,5850000,2859597.0
2019-12-24,5200000,4874298.0
2019-12-25,5200000,1473810.0
2019-12-26,5200000,2446158.0
2019-12-27,5200000,4415931.0
2019-12-28,5200000,4220892.0
2019-12-29,5200000,3310554.0
2019-12-30,5200000,876602.9999999999
2019-12-31,5200000,2676375.0
